,Word,e,t,a,o,i,th,he,in,er,an,Frequency
168,beech,2,0,0,0,0,0,0,0,0,0,1.5971160000000002e-06
169,beefy,2,0,0,0,0,0,0,0,0,0,4.6212799999999997e-07
170,befit,1,1,0,0,1,0,0,0,0,0,1.4903660000000002e-07
171,began,1,0,1,0,0,0,0,0,0,1,0.000191744
172,begat,1,1,1,0,0,0,0,0,0,0,1.1297895999999997e-06
173,beget,2,1,0,0,0,0,0,0,0,0,5.475892000000001e-07
174,begin,1,0,0,0,1,0,0,1,0,0,7.206562e-05
175,begun,1,0,0,0,0,0,0,0,0,0,2.7279460000000003e-05
176,being,1,0,0,0,1,0,0,1,0,0,0.0006041744
177,belch,1,0,0,0,0,0,0,0,0,0,3.4461739999999996e-07
178,belie,2,0,0,0,1,0,0,0,0,0,3.6106100000000006e-07
179,belle,2,0,0,0,0,0,0,0,0,0,5.5139380000000005e-06
180,belly,1,0,0,0,0,0,0,0,0,0,1.508164e-05
181,below,1,0,0,1,0,0,0,0,0,0,0.00011265920000000001
182,bench,1,0,0,0,0,0,0,0,0,0,1.5162700000000001e-05
183,beret,2,1,0,0,0,0,0,0,1,0,4.968182e-07
184,berry,1,0,0,0,0,0,0,0,1,0,5.909408000000001e-06
185,berth,1,1,0,0,0,1,0,0,1,0,1.70556e-06
186,beset,2,1,0,0,0,0,0,0,0,0,1.768668e-06
187,betel,2,1,0,0,0,0,0,0,0,0,3.8176779999999997e-07
188,bevel,2,0,0,0,0,0,0,0,0,0,5.133253999999999e-07
189,bezel,2,0,0,0,0,0,0,0,0,0,9.882256e-08
190,bible,1,0,0,0,1,0,0,0,0,0,0.0001338551
191,bicep,1,0,0,0,1,0,0,0,0,0,5.188986e-07
192,biddy,0,0,0,0,1,0,0,0,0,0,8.525275999999998e-07
193,bigot,0,1,0,1,1,0,0,0,0,0,3.3820220000000004e-07
194,bilge,1,0,0,0,1,0,0,0,0,0,3.562198e-07
195,billy,0,0,0,0,1,0,0,0,0,0,1.540694e-05
196,binge,1,0,0,0,1,0,0,1,0,0,1.840394e-06
197,bingo,0,0,0,1,1,0,0,1,0,0,1.353458e-06
198,biome,1,0,0,1,1,0,0,0,0,0,3.5929e-07
199,birch,0,0,0,0,1,0,0,0,0,0,3.241856e-06
200,birth,0,1,0,0,1,1,0,0,0,0,5.4336300000000004e-05
201,bison,0,0,0,1,1,0,0,0,0,0,1.4651920000000002e-06
202,bitty,0,2,0,0,1,0,0,0,0,0,2.5086059999999996e-07
203,black,0,0,1,0,0,0,0,0,0,0,0.0002237494
204,blade,1,0,1,0,0,0,0,0,0,0,1.6452999999999996e-05
205,blame,1,0,1,0,0,0,0,0,0,0,2.339658e-05
206,bland,0,0,1,0,0,0,0,0,0,1,2.967486e-06
207,blank,0,0,1,0,0,0,0,0,0,1,1.8227120000000002e-05
208,blare,1,0,1,0,0,0,0,0,0,0,3.33319e-07
209,blast,0,1,1,0,0,0,0,0,0,0,9.303026000000002e-06
210,blaze,1,0,1,0,0,0,0,0,0,0,3.989915999999999e-06
211,bleak,1,0,1,0,0,0,0,0,0,0,3.4861260000000003e-06
212,bleat,1,1,1,0,0,0,0,0,0,0,1.9457080000000002e-07
213,bleed,2,0,0,0,0,0,0,0,0,0,2.9650459999999996e-06
214,bleep,2,0,0,0,0,0,0,0,0,0,1.384136e-07
215,blend,1,0,0,0,0,0,0,0,0,0,8.713493999999999e-06
216,bless,1,0,0,0,0,0,0,0,0,0,9.547401999999998e-06
217,blimp,0,0,0,0,1,0,0,0,0,0,1.580584e-07
218,blind,0,0,0,0,1,0,0,1,0,0,2.7438880000000005e-05
219,blink,0,0,0,0,1,0,0,1,0,0,4.804858e-06
220,bliss,0,0,0,0,1,0,0,0,0,0,5.904449999999999e-06
221,blitz,0,1,0,0,1,0,0,0,0,0,1.1731806e-06
222,bloat,0,1,1,1,0,0,0,0,0,0,2.02793e-07
223,block,0,0,0,1,0,0,0,0,0,0,4.610912e-05
224,bloke,1,0,0,1,0,0,0,0,0,0,1.563362e-06
225,blond,0,0,0,1,0,0,0,0,0,0,7.785798e-06
226,blood,0,0,0,2,0,0,0,0,0,0,0.0001649494
227,bloom,0,0,0,2,0,0,0,0,0,0,7.738566e-06
228,blown,0,0,0,1,0,0,0,0,0,0,9.05491e-06
229,bluer,1,0,0,0,0,0,0,0,1,0,2.0848720000000002e-07
230,bluff,0,0,0,0,0,0,0,0,0,0,3.2540700000000003e-06
231,blunt,0,1,0,0,0,0,0,0,0,0,5.669918e-06
232,blurb,0,0,0,0,0,0,0,0,0,0,3.260168e-07
233,blurt,0,1,0,0,0,0,0,0,0,0,6.641166e-07
234,blush,0,0,0,0,0,0,0,0,0,0,4.896848e-06
235,board,0,0,1,1,0,0,0,0,0,0,8.255864000000001e-05
236,boast,0,1,1,1,0,0,0,0,0,0,3.5578840000000003e-06
237,bobby,0,0,0,1,0,0,0,0,0,0,8.626128e-06
238,boney,1,0,0,1,0,0,0,0,0,0,2.3346680000000002e-07
239,bongo,0,0,0,2,0,0,0,0,0,0,2.399334e-07
240,bonus,0,0,0,1,0,0,0,0,0,0,5.6314899999999995e-06
241,booby,0,0,0,2,0,0,0,0,0,0,6.266299999999999e-07
242,boost,0,1,0,2,0,0,0,0,0,0,7.096163999999999e-06
243,booth,0,1,0,2,0,1,0,0,0,0,8.216102e-06
244,booty,0,1,0,2,0,0,0,0,0,0,1.553676e-06
245,booze,1,0,0,2,0,0,0,0,0,0,1.9134640000000003e-06
246,boozy,0,0,0,2,0,0,0,0,0,0,1.801422e-07
247,borax,0,0,1,1,0,0,0,0,0,0,2.298498e-07
248,borne,1,0,0,1,0,0,0,0,0,0,1.0131652e-05
249,bosom,0,0,0,2,0,0,0,0,0,0,5.54503e-06
250,bossy,0,0,0,1,0,0,0,0,0,0,9.081308000000001e-07
251,botch,0,1,0,1,0,0,0,0,0,0,1.103935e-07
252,bough,0,0,0,1,0,0,0,0,0,0,9.064482000000001e-07
253,boule,1,0,0,1,0,0,0,0,0,0,1.950836e-07
254,bound,0,0,0,1,0,0,0,0,0,0,4.544912e-05
255,bowel,1,0,0,1,0,0,0,0,0,0,7.188446e-06
256,boxer,1,0,0,1,0,0,0,0,1,0,2.3675800000000003e-06
257,brace,1,0,1,0,0,0,0,0,0,0,4.0240019999999996e-06
258,braid,0,0,1,0,1,0,0,0,0,0,2.083498e-06
259,brain,0,0,1,0,1,0,0,1,0,0,9.165586000000001e-05
260,brake,1,0,1,0,0,0,0,0,0,0,4.552945999999999e-06
261,brand,0,0,1,0,0,0,0,0,0,1,2.8957720000000004e-05
262,brash,0,0,1,0,0,0,0,0,0,0,7.95547e-07
263,brass,0,0,1,0,0,0,0,0,0,0,8.469142e-06
264,brave,1,0,1,0,0,0,0,0,0,0,1.560208e-05
265,bravo,0,0,1,1,0,0,0,0,0,0,1.679602e-06
266,brawl,0,0,1,0,0,0,0,0,0,0,8.159418000000001e-07
267,brawn,0,0,1,0,0,0,0,0,0,0,3.612954e-07
268,bread,1,0,1,0,0,0,0,0,0,0,3.4327860000000004e-05
269,break,1,0,1,0,0,0,0,0,0,0,7.061344e-05
270,breed,2,0,0,0,0,0,0,0,0,0,6.763823999999999e-06
271,briar,0,0,1,0,1,0,0,0,0,0,7.956892e-07
272,bribe,1,0,0,0,1,0,0,0,0,0,2.237022e-06
273,brick,0,0,0,0,1,0,0,0,0,0,1.2341920000000001e-05
274,bride,1,0,0,0,1,0,0,0,0,0,1.18994e-05
275,brief,1,0,0,0,1,0,0,0,0,0,4.554892000000001e-05
276,brine,1,0,0,0,1,0,0,1,0,0,1.660144e-06
277,bring,0,0,0,0,1,0,0,1,0,0,0.0001245252
278,brink,0,0,0,0,1,0,0,1,0,0,3.4653339999999998e-06
279,briny,0,0,0,0,1,0,0,1,0,0,2.317686e-07
280,brisk,0,0,0,0,1,0,0,0,0,0,2.858436e-06
281,broad,0,0,1,1,0,0,0,0,0,0,4.7157679999999996e-05
282,broil,0,0,0,1,1,0,0,0,0,0,3.591408e-07
283,broke,1,0,0,1,0,0,0,0,0,0,4.3705379999999995e-05
284,brood,0,0,0,2,0,0,0,0,0,0,2.092954e-06
285,brook,0,0,0,2,0,0,0,0,0,0,5.272108e-06
286,broom,0,0,0,2,0,0,0,0,0,0,2.5284920000000002e-06
287,broth,0,1,0,1,0,1,0,0,0,0,4.184312000000001e-06
288,brown,0,0,0,1,0,0,0,0,0,0,7.977228e-05
289,brunt,0,1,0,0,0,0,0,0,0,0,1.457106e-06
290,brush,0,0,0,0,0,0,0,0,0,0,1.49058e-05
291,brute,1,1,0,0,0,0,0,0,0,0,4.222728e-06
292,buddy,0,0,0,0,0,0,0,0,0,0,6.332234e-06
293,budge,1,0,0,0,0,0,0,0,0,0,2.018644e-06
294,buggy,0,0,0,0,0,0,0,0,0,0,2.064934e-06
295,bugle,1,0,0,0,0,0,0,0,0,0,7.052522e-07
296,build,0,0,0,0,1,0,0,0,0,0,5.930362e-05
297,built,0,1,0,0,1,0,0,0,0,0,7.782811999999998e-05
298,bulge,1,0,0,0,0,0,0,0,0,0,2.048256e-06
299,bulky,0,0,0,0,0,0,0,0,0,0,2.311198e-06
300,bully,0,0,0,0,0,0,0,0,0,0,3.503742e-06
301,bunch,0,0,0,0,0,0,0,0,0,0,1.257288e-05
302,bunny,0,0,0,0,0,0,0,0,0,0,2.5151119999999998e-06
303,burly,0,0,0,0,0,0,0,0,0,0,1.516738e-06
304,burnt,0,1,0,0,0,0,0,0,0,0,9.826844e-06
305,burst,0,1,0,0,0,0,0,0,0,0,2.3667920000000002e-05
306,bused,1,0,0,0,0,0,0,0,0,0,7.954454e-08
307,bushy,0,0,0,0,0,0,0,0,0,0,1.4981499999999998e-06
308,butch,0,1,0,0,0,0,0,0,0,0,1.3621539999999999e-06
309,butte,1,2,0,0,0,0,0,0,0,0,7.771360000000001e-07
310,buxom,0,0,0,1,0,0,0,0,0,0,3.45187e-07
311,buyer,1,0,0,0,0,0,0,0,1,0,1.0457719999999998e-05
312,bylaw,0,0,1,0,0,0,0,0,0,0,1.694926e-07
313,cabal,0,0,2,0,0,0,0,0,0,0,4.470776e-07
314,cabby,0,0,1,0,0,0,0,0,0,0,1.4229400000000002e-07
315,cabin,0,0,1,0,1,0,0,1,0,0,1.834018e-05
316,cable,1,0,1,0,0,0,0,0,0,0,1.29092e-05
317,cacao,0,0,2,1,0,0,0,0,0,0,9.789628e-07
318,cache,1,0,1,0,0,0,1,0,0,0,3.6410639999999996e-06
319,cacti,0,1,1,0,1,0,0,0,0,0,4.0051120000000004e-07
320,caddy,0,0,1,0,0,0,0,0,0,0,6.535296e-07
321,cadet,1,1,1,0,0,0,0,0,0,0,1.263582e-06
322,cagey,1,0,1,0,0,0,0,0,0,0,2.139054e-07
323,cairn,0,0,1,0,1,0,0,0,0,0,6.375736e-07
324,camel,1,0,1,0,0,0,0,0,0,0,3.496098e-06
325,cameo,1,0,1,1,0,0,0,0,0,0,6.25582e-07
326,canal,0,0,2,0,0,0,0,0,0,1,1.3947960000000002e-05
327,candy,0,0,1,0,0,0,0,0,0,1,7.74659e-06
328,canny,0,0,1,0,0,0,0,0,0,1,6.522606e-07
329,canoe,1,0,1,1,0,0,0,0,0,1,4.438074e-06
330,canon,0,0,1,1,0,0,0,0,0,1,7.471116000000001e-06
331,caper,1,0,1,0,0,0,0,0,1,0,4.5103539999999993e-07
332,caput,0,1,1,0,0,0,0,0,0,0,3.285122e-07
333,carat,0,1,2,0,0,0,0,0,0,0,3.05492e-07
334,cargo,0,0,1,1,0,0,0,0,0,0,9.42218e-06
335,carol,0,0,1,1,0,0,0,0,0,0,8.942160000000001e-06
336,carry,0,0,1,0,0,0,0,0,0,0,5.760598e-05
337,carve,1,0,1,0,0,0,0,0,0,0,2.00447e-06
338,caste,1,1,1,0,0,0,0,0,0,0,6.245446e-06
339,catch,0,1,1,0,0,0,0,0,0,0,4.1496959999999996e-05
340,cater,1,1,1,0,0,0,0,0,1,0,1.7490899999999998e-06
341,catty,0,2,1,0,0,0,0,0,0,0,2.239516e-07
342,caulk,0,0,1,0,0,0,0,0,0,0,1.0872316e-07
343,cause,1,0,1,0,0,0,0,0,0,0,0.0001299014
344,cavil,0,0,1,0,1,0,0,0,0,0,1.3323495999999998e-07
345,cease,2,0,1,0,0,0,0,0,0,0,9.09453e-06
346,cedar,1,0,1,0,0,0,0,0,0,0,3.765026e-06
347,cello,1,0,0,1,0,0,0,0,0,0,9.323986e-07
348,chafe,1,0,1,0,0,0,0,0,0,0,3.5859320000000005e-07
349,chaff,0,0,1,0,0,0,0,0,0,0,9.524575999999999e-07
350,chain,0,0,1,0,1,0,0,1,0,0,4.466296e-05
351,chair,0,0,1,0,1,0,0,0,0,0,6.993162000000001e-05
352,chalk,0,0,1,0,0,0,0,0,0,0,3.3783640000000004e-06
353,champ,0,0,1,0,0,0,0,0,0,0,1.042516e-06
354,chant,0,1,1,0,0,0,0,0,0,1,3.126336e-06
355,chaos,0,0,1,1,0,0,0,0,0,0,1.3899600000000002e-05
356,chard,0,0,1,0,0,0,0,0,0,0,6.527996e-07
357,charm,0,0,1,0,0,0,0,0,0,0,1.0215244e-05
358,chart,0,1,1,0,0,0,0,0,0,0,1.76125e-05
359,chase,1,0,1,0,0,0,0,0,0,0,1.6121660000000002e-05
360,chasm,0,0,1,0,0,0,0,0,0,0,1.894996e-06
361,cheap,1,0,1,0,0,0,1,0,0,0,1.40973e-05
362,cheat,1,1,1,0,0,0,1,0,0,0,3.1958540000000006e-06
363,check,1,0,0,0,0,0,1,0,0,0,6.895206e-05
364,cheek,2,0,0,0,0,0,1,0,0,0,2.5635699999999996e-05
365,cheer,2,0,0,0,0,0,1,0,1,0,6.056648e-06
366,chess,1,0,0,0,0,0,1,0,0,0,4.856594e-06
367,chest,1,1,0,0,0,0,1,0,0,0,6.941442e-05
368,chick,0,0,0,0,1,0,0,0,0,0,3.0698760000000002e-06
369,chide,1,0,0,0,1,0,0,0,0,0,3.195167999999999e-07
370,chief,1,0,0,0,1,0,0,0,0,0,6.500580000000001e-05
371,child,0,0,0,0,1,0,0,0,0,0,0.00021079140000000002
372,chili,0,0,0,0,2,0,0,0,0,0,2.835496e-06
373,chill,0,0,0,0,1,0,0,0,0,0,9.243887999999999e-06
374,chime,1,0,0,0,1,0,0,0,0,0,1.042852e-06
375,china,0,0,1,0,1,0,0,1,0,0,0.00010549067999999999
376,chirp,0,0,0,0,1,0,0,0,0,0,6.268212e-07
377,chock,0,0,0,1,0,0,0,0,0,0,3.798818e-07
378,choir,0,0,0,1,1,0,0,0,0,0,4.489952e-06
379,choke,1,0,0,1,0,0,0,0,0,0,2.8815640000000004e-06
380,chord,0,0,0,1,0,0,0,0,0,0,3.783996e-06
381,chore,1,0,0,1,0,0,0,0,0,0,1.130718e-06
382,chose,1,0,0,1,0,0,0,0,0,0,2.6667420000000003e-05
383,chuck,0,0,0,0,0,0,0,0,0,0,4.8681340000000005e-06
384,chump,0,0,0,0,0,0,0,0,0,0,2.366464e-07
385,chunk,0,0,0,0,0,0,0,0,0,0,2.9450000000000006e-06
386,churn,0,0,0,0,0,0,0,0,0,0,1.1890440000000001e-06
387,chute,1,1,0,0,0,0,0,0,0,0,1.157864e-06
388,cider,1,0,0,0,1,0,0,0,1,0,2.59036e-06
389,cigar,0,0,1,0,1,0,0,0,0,0,4.55944e-06
390,cinch,0,0,0,0,1,0,0,1,0,0,3.4101939999999996e-07
391,circa,0,0,1,0,1,0,0,0,0,0,2.12475e-06
392,civic,0,0,0,0,2,0,0,0,0,0,1.198484e-05
393,civil,0,0,0,0,2,0,0,0,0,0,8.055338e-05
394,clack,0,0,1,0,0,0,0,0,0,0,5.727301999999999e-07
395,claim,0,0,1,0,1,0,0,0,0,0,7.156122e-05
396,clamp,0,0,1,0,0,0,0,0,0,0,2.025626e-06
397,clang,0,0,1,0,0,0,0,0,0,1,1.0847652e-06
398,clank,0,0,1,0,0,0,0,0,0,1,4.5084439999999995e-07
399,clash,0,0,1,0,0,0,0,0,0,0,4.762404e-06
400,clasp,0,0,1,0,0,0,0,0,0,0,2.064438e-06
401,class,0,0,1,0,0,0,0,0,0,0,0.000162074
